eps	sigma	t	zeta_logderiv_norm	log_2_plus_t	ratio
0.5000	1.0000	410.00	5.934882940040819e-1	6.021023349349527e0	9.856933939115160e-2
0.5000	1.0000	610.00	4.196457879580672e-1	6.416732282512326e0	6.539867482109826e-2
0.5000	1.0000	810.00	8.095912365803285e-1	6.699500340161678e0	1.208435249606676e-1
0.5000	1.0000	1010.00	9.100575477066928e-1	6.919683849847411e0	1.315172148691101e-1
0.5000	1.0000	1210.00	9.175338841076953e-1	7.100027166629260e0	1.292296300527107e-1
0.5000	1.0000	1410.00	8.792859178881004e-1	7.252762418053187e0	1.212346230588540e-1
0.5000	1.0000	1610.00	1.761028177978035e0	7.385230923066573e0	2.384526897429501e-1
0.5000	1.0000	1810.00	7.035213887023328e-1	7.502186486602924e0	9.377551330650744e-2
0.5000	1.0000	2010.00	4.386589370473885e-1	7.606884531219630e0	5.766604386422273e-2
0.5000	1.0000	2210.00	5.928302042450160e-1	7.701652362642226e0	7.697441747963189e-2
0.5000	1.0000	2410.00	1.083955031026876e0	7.788211557847076e0	1.391789402452387e-1
0.5000	1.0000	2610.00	1.488145905662800e-2	7.867871490396322e0	1.891421215355716e-3
0.5000	1.0000	2810.00	9.788634563448921e-1	7.941651252930556e0	1.232569178838823e-1
0.5000	1.0000	3010.00	1.380752891080522e0	8.010359588919783e0	1.723708999269433e-1
0.5000	1.0000	3210.00	2.046121274315228e0	8.074649075066652e0	2.534006438290123e-1
0.5000	1.0000	3410.00	7.875651167758425e-1	8.135053908611569e0	9.681129659658989e-2
0.5000	1.0000	3610.00	6.586103669983245e-1	8.192016914536875e0	8.039660731530096e-2
0.5000	1.0000	3810.00	1.942434487132976e-1	8.245909264774093e0	2.355634078379823e-2
0.5000	1.0000	4010.00	1.427049309304299e0	8.297045149081827e0	1.719948829568825e-1
0.5000	1.0000	4210.00	7.508046585516970e-2	8.345692873253865e0	8.996313067760532e-3
0.5000	1.0000	4410.00	1.479494028502529e-1	8.392083380373393e0	1.762963928555130e-2
0.5000	1.0000	4610.00	3.218052235807057e-1	8.436416881388949e0	3.814477498031422e-2
0.5000	1.0000	4810.00	6.843085194722492e-1	8.478868077094569e0	8.070753233216237e-2
0.5000	1.0000	5010.00	9.893165074309563e-1	8.519590316015959e0	1.161225447156939e-1
0.5000	1.0000	5210.00	4.861450066425039e-1	8.558718938244736e0	5.680114163699888e-2
0.5000	1.0000	5410.00	1.178161265732276e0	8.596373989290679e0	1.370532816743459e-1
0.5000	1.0000	5610.00	1.445408697438855e0	8.632662441222351e0	1.674348681279134e-1
0.5000	1.0000	5810.00	2.557400154870986e-1	8.667680024690174e0	2.950501342442437e-2
0.5000	1.0000	6010.00	2.450976875480526e-1	8.701512750872865e0	2.816725028914844e-2
0.5000	1.0000	6210.00	1.178408299211297e0	8.734238184268579e0	1.349182692697519e-1
0.5000	1.0000	6410.00	6.588867626482851e-1	8.765926513729443e0	7.516453185140418e-2
0.5000	1.0000	6610.00	9.964617499549748e-1	8.796641458940915e0	1.132775224051186e-1
0.5000	1.0000	6810.00	3.530939878867209e-1	8.826441041782578e0	4.000411787891017e-2
0.5000	1.0000	7010.00	1.380030817501274e-1	8.855378246041125e0	1.558409792510251e-2
0.5000	1.0000	7210.00	3.641821263141066e-1	8.883501584323207e0	4.099533532551871e-2
0.5000	1.0000	7410.00	6.917057880607382e-1	8.910855587405250e0	7.762506992464412e-2
0.5000	1.0000	7610.00	1.206063357497051e0	8.937481228416040e0	1.349444353138852e-1
0.5000	1.0000	7810.00	1.500982099661860e0	8.963416291996570e0	1.674564753845123e-1
0.5000	1.0000	8010.00	8.074985217139267e-1	8.988695696785708e0	8.983489362118269e-2
0.5000	1.0000	8210.00	2.953259592106379e-1	9.013351778138825e0	3.276538700363695e-2
0.5000	1.0000	8410.00	1.186136145409283e0	9.037414536822590e0	1.312472876591439e-1
0.5000	1.0000	8610.00	1.145514759818638e0	9.060911858484253e0	1.264237835782528e-1
0.5000	1.0000	8810.00	9.571767913983232e-1	9.083869707922235e0	1.053710392349143e-1
0.5000	1.0000	9010.00	1.820061306933881e-1	9.106312301552135e0	1.998680966194910e-2
0.5000	1.0000	9210.00	1.081404727767661e0	9.128262260940575e0	1.184677539771116e-1
0.5000	1.0000	9410.00	1.218400743778222e0	9.149740749847252e0	1.331623241673336e-1
0.5000	1.0000	9610.00	1.016379000430590e0	9.170767596856360e0	1.108281274927296e-1
0.5000	1.0000	9810.00	5.330229126730951e-1	9.191361405378380e0	5.799172605281232e-2
0.5000	1.0000	12000.00	8.894057963210137e-1	9.392828581549459e0	9.468987841086478e-2
0.5000	1.0000	15000.00	1.458955833792821e0	9.615938804529582e0	1.517226620770071e-1
0.5000	1.0000	20000.00	2.721757544556771e-1	9.903587547536461e0	2.748254136687886e-2
1.0000	1.5000	10.00	1.483864743172116e-1	2.484906649788000e0	5.971511015509223e-2
1.0000	1.5000	210.00	1.528451897131133e-1	5.356586274672012e0	2.853406663789283e-2
1.0000	1.5000	410.00	1.630759928273348e-1	6.021023349349527e0	2.708443122794940e-2
1.0000	1.5000	610.00	6.783736946080848e-2	6.416732282512326e0	1.057194947117979e-2
1.0000	1.5000	810.00	3.798705937498978e-1	6.699500340161678e0	5.670133210870625e-2
1.0000	1.5000	1010.00	4.607324497036673e-1	6.919683849847411e0	6.658287570664476e-2
1.0000	1.5000	1210.00	3.610605053372247e-1	7.100027166629260e0	5.085339772138341e-2
1.0000	1.5000	1410.00	3.889905964668640e-1	7.252762418053187e0	5.363343979096978e-2
1.0000	1.5000	1610.00	6.508445140459559e-1	7.385230923066573e0	8.812784878711760e-2
1.0000	1.5000	1810.00	4.704945994011008e-1	7.502186486602924e0	6.271433004781865e-2
1.0000	1.5000	2010.00	3.077954896553224e-1	7.606884531219630e0	4.046275296964089e-2
1.0000	1.5000	2210.00	1.756199159251422e-1	7.701652362642226e0	2.280288795908361e-2
1.0000	1.5000	2410.00	2.760291905637409e-1	7.788211557847076e0	3.544192251501251e-2
1.0000	1.5000	2610.00	1.421214209466989e-2	7.867871490396322e0	1.806351579587632e-3
1.0000	1.5000	2810.00	3.776100176090737e-1	7.941651252930556e0	4.754804833185435e-2
1.0000	1.5000	3010.00	6.121143863043362e-1	8.010359588919783e0	7.641534434372145e-2
1.0000	1.5000	3210.00	8.536866700547583e-1	8.074649075066652e0	1.057243060495123e-1
1.0000	1.5000	3410.00	5.420622973248540e-1	8.135053908611569e0	6.663290783494871e-2
1.0000	1.5000	3610.00	8.453659997677486e-2	8.192016914536875e0	1.031938786976419e-2
1.0000	1.5000	3810.00	3.495086995992241e-1	8.245909264774093e0	4.238570767353687e-2
1.0000	1.5000	4010.00	5.492169541626444e-1	8.297045149081827e0	6.619428293980324e-2
1.0000	1.5000	4210.00	1.884089684519575e-1	8.345692873253865e0	2.257559334058019e-2
1.0000	1.5000	4410.00	9.977686547873386e-2	8.392083380373393e0	1.188940349569006e-2
1.0000	1.5000	4610.00	1.832349808273688e-1	8.436416881388949e0	2.171952659565603e-2
1.0000	1.5000	4810.00	2.025807101610013e-1	8.478868077094569e0	2.389242388477155e-2
1.0000	1.5000	5010.00	2.195261928630143e-1	8.519590316015959e0	2.576722409413601e-2
1.0000	1.5000	5210.00	2.881216300017415e-1	8.558718938244736e0	3.366410698618302e-2
1.0000	1.5000	5410.00	5.561397285618583e-1	8.596373989290679e0	6.469468746412085e-2
1.0000	1.5000	5610.00	6.638555676258343e-1	8.632662441222351e0	7.690044318839774e-2
1.0000	1.5000	5810.00	4.002426144814399e-1	8.667680024690174e0	4.617644090937085e-2
1.0000	1.5000	6010.00	2.580639872718414e-1	8.701512750872865e0	2.965737046652659e-2
1.0000	1.5000	6210.00	4.661145435212364e-1	8.734238184268579e0	5.336636506670555e-2
1.0000	1.5000	6410.00	2.879608887260304e-1	8.765926513729443e0	3.285002312933127e-2
1.0000	1.5000	6610.00	1.963035837208923e-1	8.796641458940915e0	2.231574227927286e-2
