x	f_N	f_N_minus_1	abs_dev
0.00217000	1.406005404332301e-1	-8.593994595667700e-1	8.593994595667700e-1
0.00219000	-7.863936365299456e-1	-1.786393636529946e0	1.786393636529946e0
0.00221000	8.190224656889507e-1	-1.809775343110493e-1	1.809775343110493e-1
0.00223000	5.194322495097570e-1	-4.805677504902430e-1	4.805677504902430e-1
0.00225000	9.268294985253762e-3	-9.907317050147463e-1	9.907317050147463e-1
0.00227000	4.734592268314596e-1	-5.265407731685404e-1	5.265407731685404e-1
0.00229000	2.191203561545575e-1	-7.808796438454425e-1	7.808796438454425e-1
0.00231000	-6.594301260363965e-1	-1.659430126036396e0	1.659430126036396e0
0.00233000	7.328040458988974e-1	-2.671959541011026e-1	2.671959541011026e-1
0.00235000	3.772990947034409e-1	-6.227009052965591e-1	6.227009052965591e-1
0.00237000	1.779667789625089e-1	-8.220332210374911e-1	8.220332210374911e-1
0.00239000	1.771689134724099e0	7.716891347240993e-1	7.716891347240993e-1
0.00241000	7.782856398868507e-1	-2.217143601131493e-1	2.217143601131493e-1
0.00243000	1.581442335400534e-1	-8.418557664599466e-1	8.418557664599466e-1
0.00245000	-1.973262934527965e-1	-1.197326293452796e0	1.197326293452796e0
0.00247000	4.246640267683311e-1	-5.753359732316689e-1	5.753359732316689e-1
0.00249000	8.393735321350249e-1	-1.606264678649751e-1	1.606264678649751e-1
0.00251000	1.016976536420888e0	1.697653642088803e-2	1.697653642088803e-2
0.00253000	9.732123915029141e-1	-2.678760849708595e-2	2.678760849708595e-2
0.00255000	6.875153573246697e-1	-3.124846426753303e-1	3.124846426753303e-1
0.00257000	2.953276530885053e-1	-7.046723469114947e-1	7.046723469114947e-1
0.00259000	9.113119157177363e-1	-8.868808428226371e-2	8.868808428226371e-2
0.00261000	1.018128713227168e0	1.812871322716836e-2	1.812871322716836e-2
0.00263000	6.898530197876118e-1	-3.101469802123882e-1	3.101469802123882e-1
0.00265000	1.491333285344695e0	4.913332853446948e-1	4.913332853446948e-1
0.00267000	1.830554276795885e0	8.305542767958853e-1	8.305542767958853e-1
