# j	a_star(j)
# # d2 = 4.845610540691447e-02
# # N = 40000
161	-7.795498038661276e-01
162	-2.839805962478614e-02
163	7.234545306237031e-01
164	1.131128991827953e+00
165	4.104321971930865e-01
166	-1.733879691330164e+00
167	6.099189180645109e-01
168	-1.080332770294390e-01
169	-2.103763026687575e-03
170	1.420722884903801e+00
171	-9.841452033572937e-04
172	9.847254822341802e-01
173	7.646753700556096e-01
174	1.781315660735968e+00
175	-4.030025038497367e-02
176	1.437235211932212e-01
177	-6.647070012890159e-01
178	-1.786558431273306e+00
179	6.515565524388720e-01
180	-2.647032944590997e-01
181	6.774299960204714e-01
182	1.503918436143232e+00
183	-8.062660797532721e-01
184	-1.046001588799104e-01
185	-5.789925982742665e-01
186	1.706990817384930e+00
187	-7.779237722675282e-01
188	1.040366840038721e+00
189	5.678620000049834e-02
190	1.557497241430929e+00
191	7.387622314269210e-01
192	-8.096314408353015e-03
193	5.583419284241843e-01
194	-1.777426768685482e+00
195	4.669588478635066e-01
196	-1.479774440432872e-01
197	6.486818002626049e-01
198	1.775980652810348e-01
199	6.974312655908885e-01
200	1.722484654083033e-01
201	-6.230700514988602e-01
202	-1.570846673409243e+00
203	-6.116823906071261e-01
204	-7.276158239499891e-01
205	-8.001657351073345e-01
206	-1.526662618282751e+00
207	-7.040373428887155e-02
208	9.838474034088480e-02
209	-6.704344195005789e-01
210	-9.441275727247292e-01
211	7.084095822601024e-01
212	1.158732128910263e+00
213	-7.445742564210253e-01
214	-1.655796733184303e+00
215	-5.736460933442363e-01
216	9.608463961740081e-02
217	-4.857532816448886e-01
218	-1.727212013531453e+00
219	-7.209111220401649e-01
220	-6.613028580320185e-01
221	-6.465030391446621e-01
222	1.439174554250055e+00
223	6.029479667763041e-01
224	-1.305427693111475e-02
225	2.142624188750297e-01
226	-1.818982616002015e+00
227	5.214543819620652e-01
228	-7.591259067872757e-01
229	6.461258107697542e-01
230	1.956404094542095e+00
231	4.916013728408467e-01
232	-1.104423659290675e-01
233	6.148043704964450e-01
234	2.587724616069827e-01
235	-6.694945809030789e-01
236	1.106450422436269e+00
237	-6.970396158112486e-01
238	1.440849796773480e+00
239	5.606093424758213e-01
240	-4.698867946666375e-01
241	4.336209235757755e-01
242	-4.758190158350620e-02
243	-1.537647303174547e-01
244	8.874087738684276e-01
245	-1.155650438369353e-01
