N	d_sq	d_sq*ln(N)	bt_v	vt_Gv	S1	S2	S3	M(N)	f_N(0.5)
18875	3.0997969696e-2	0.305193	0.83983690	0.71067177	0.001043	-0.989605	-1.050843	20	0.867291
18876	3.0997681847e-2	0.305192	0.83983770	0.71067309	0.001043	-0.989605	-1.050843	20	0.867292
18877	3.0997394021e-2	0.305191	0.83983851	0.71067441	0.001096	-0.989083	-1.045708	21	0.867292
18878	3.0997107920e-2	0.305190	0.83983931	0.71067572	0.001149	-0.988562	-1.040573	22	0.867293
18879	3.0996823543e-2	0.305189	0.83984010	0.71067703	0.001202	-0.988040	-1.035438	23	0.867294
18880	3.0996540891e-2	0.305188	0.83984090	0.71067834	0.001202	-0.988040	-1.035438	23	0.867294
18881	3.0996258262e-2	0.305186	0.83984169	0.71067964	0.001255	-0.987519	-1.030304	24	0.867295
18882	3.0995977357e-2	0.305185	0.83984248	0.71068095	0.001255	-0.987519	-1.030304	24	0.867296
18883	3.0995696474e-2	0.305184	0.83984328	0.71068225	0.001308	-0.986997	-1.025170	25	0.867297
18884	3.0995417315e-2	0.305183	0.83984406	0.71068355	0.001308	-0.986997	-1.025170	25	0.867297
18885	3.0995138179e-2	0.305182	0.83984485	0.71068484	0.001255	-0.987519	-1.030303	24	0.867298
18886	3.0994857363e-2	0.305181	0.83984564	0.71068615	0.001308	-0.986997	-1.025170	25	0.867299
18887	3.0994578271e-2	0.305180	0.83984643	0.71068744	0.001255	-0.987519	-1.030303	24	0.867299
18888	3.0994297499e-2	0.305179	0.83984722	0.71068875	0.001255	-0.987519	-1.030303	24	0.867300
18889	3.0994016750e-2	0.305177	0.83984802	0.71069005	0.001308	-0.986997	-1.025170	25	0.867301
18890	3.0993737724e-2	0.305176	0.83984880	0.71069135	0.001255	-0.987519	-1.030303	24	0.867301
18891	3.0993457019e-2	0.305175	0.83984959	0.71069265	0.001255	-0.987519	-1.030303	24	0.867302
18892	3.0993176337e-2	0.305174	0.83985039	0.71069395	0.001255	-0.987519	-1.030303	24	0.867303
18893	3.0992895676e-2	0.305173	0.83985118	0.71069525	0.001308	-0.986997	-1.025171	25	0.867304
18894	3.0992616739e-2	0.305172	0.83985197	0.71069655	0.001361	-0.986476	-1.020039	26	0.867304
18895	3.0992339524e-2	0.305171	0.83985275	0.71069784	0.001414	-0.985955	-1.014908	27	0.867305
18896	3.0992064032e-2	0.305170	0.83985353	0.71069913	0.001414	-0.985955	-1.014908	27	0.867306
