j	k	gcd	formula	integral	error	digits	certified	time_ms
5	37	1	5.206698243726494e-2	5.206693234726233e-2	5.00900e-8	7	true	15884.3
5	38	1	5.104491598859382e-2	5.104486590097058e-2	5.00876e-8	7	true	14091.2
5	39	1	5.016047877198396e-2	5.016042868660123e-2	5.00854e-8	7	true	13758.5
5	40	5	4.967921766949527e-2	4.967916558626610e-2	5.20832e-8	7	true	14695.6
5	41	1	4.833710474482438e-2	4.833705466360586e-2	5.00812e-8	7	true	15258.9
5	42	1	4.739014042612597e-2	4.739009034689367e-2	5.00792e-8	7	true	14014.9
5	43	1	4.655973971289968e-2	4.655968963545860e-2	5.00774e-8	7	true	14198.6
5	44	1	4.583475267876959e-2	4.583470260309692e-2	5.00757e-8	7	true	13612.5
5	45	5	4.542581234861091e-2	4.542576049684609e-2	5.18518e-8	7	true	12476.0
5	46	1	4.433468637541887e-2	4.433463630310198e-2	5.00723e-8	7	true	12766.3
5	47	1	4.355418078953534e-2	4.355413071872246e-2	5.00708e-8	7	true	13236.3
5	48	1	4.286473424700205e-2	4.286468417769958e-2	5.00693e-8	7	true	12483.0
5	49	1	4.225844736162132e-2	4.225839729377478e-2	5.00678e-8	7	true	12511.4
5	50	5	4.190644103481642e-2	4.190638936826475e-2	5.16666e-8	7	true	11738.7
6	7	1	1.503665696081029e-1	1.503665276108402e-1	4.19973e-8	7	true	18472.9
6	8	2	1.368906499872101e-1	1.368906071632240e-1	4.28240e-8	7	true	16762.9
6	9	3	1.285159845746155e-1	1.285159405932394e-1	4.39814e-8	7	true	15093.4
6	10	2	1.201115518148399e-1	1.201115092223362e-1	4.25925e-8	7	true	15019.4
6	11	1	1.148528992986479e-1	1.148528574216398e-1	4.18770e-8	7	true	15997.1
6	12	6	1.148126537762566e-1	1.148126051652636e-1	4.86110e-8	7	true	12449.7
6	13	1	1.042173595919240e-1	1.042173177472861e-1	4.18446e-8	7	true	15717.6
6	14	2	9.847313310057057e-2	9.847309077261356e-2	4.23280e-8	7	true	13850.5
