i,row_gcd2_12,row_inv_max,row_total_excess
407,0.0828873272,0.4736892524,0.5565765796
408,0.2978250352,0.4730780128,0.7709030480
409,0.0431908727,0.4724682640,0.5156591368
410,0.1770095872,0.4718599988,0.6488695860
411,0.1047626521,0.4712532099,0.5760158620
412,0.1417107539,0.4706478901,0.6123586440
413,0.0884862733,0.4700440325,0.5585303058
414,0.2414014942,0.4694416299,0.7108431241
415,0.0955255764,0.4688406754,0.5643662518
416,0.2196001687,0.4682411619,0.6878413306
417,0.1046914082,0.4676430827,0.5723344909
418,0.1631297248,0.4670464308,0.6301761557
419,0.0431545129,0.4664511995,0.5096057124
420,0.4128824259,0.4658573821,0.8787398080
421,0.0431474481,0.4652649717,0.5084124198
422,0.1007076426,0.4646739618,0.5653816044
423,0.1386267413,0.4640843458,0.6027110870
424,0.1694830649,0.4634961170,0.6329791819
425,0.1268479891,0.4629092691,0.5897572582
426,0.1875298328,0.4623237955,0.6498536283
427,0.0881886128,0.4617396897,0.5499283025
428,0.1414403494,0.4611569455,0.6025972949
429,0.1692908388,0.4605755565,0.6298663953
430,0.1748486603,0.4599955164,0.6348441766
431,0.0431131072,0.4594168189,0.5025299262
432,0.3274985657,0.4588394579,0.7863380236
433,0.0431064293,0.4582634272,0.5013698565
434,0.1678949333,0.4576887207,0.6255836539
435,0.1778040799,0.4571153323,0.6349194121
436,0.1413125695,0.4565432559,0.5978558254
437,0.0779515278,0.4559724857,0.5339240135
438,0.1832570963,0.4554030155,0.6386601118
439,0.0430867604,0.4548348396,0.4979216001
440,0.2872478833,0.4542679521,0.7415158354
441,0.1869392344,0.4537023470,0.6406415815
442,0.1601110694,0.4531380187,0.6132490882
443,0.0430739437,0.4525749614,0.4956489052
444,0.2429581624,0.4520131694,0.6949713318
445,0.0936571672,0.4514526369,0.5451098042
446,0.1005202929,0.4508933585,0.5514136513
447,0.1003957506,0.4503353284,0.5507310789
448,0.2432472054,0.4497785410,0.6930257464
449,0.0430551466,0.4492229910,0.4922781376
450,0.3196692812,0.4486686728,0.7683379540
451,0.0807765821,0.4481155809,0.5288921629
452,0.1387559106,0.4475637099,0.5863196205
453,0.1003354267,0.4470130545,0.5473484812
454,0.1004622399,0.4464636093,0.5469258492
455,0.1675504360,0.4459153690,0.6134658050
456,0.2862126267,0.4453683283,0.7315809550
457,0.0430308513,0.4448224820,0.4878533333
458,0.1004339732,0.4442778249,0.5447117981
459,0.1615106935,0.4437343518,0.6052450453
460,0.2305664162,0.4431920576,0.6737584738
461,0.0430190197,0.4426509372,0.4856699569
462,0.2934173151,0.4421109854,0.7355283005
463,0.0430131805,0.4415721974,0.4845853779
464,0.1884461189,0.4410345680,0.6294806868
465,0.1747561146,0.4404980923,0.6152542068
466,0.1003788939,0.4399627653,0.5403416592
467,0.0430016522,0.4394285822,0.4824302344
468,0.3091411260,0.4388955380,0.7480366640
469,0.0858644165,0.4383636280,0.5242280444
470,0.1716221457,0.4378328472,0.6094549929
471,0.1001636610,0.4373031910,0.5374668519
472,0.1652062802,0.4367746545,0.6019809347
473,0.0799285061,0.4362472331,0.5161757392
474,0.1813654429,0.4357209220,0.6170863649
475,0.1223212739,0.4351957166,0.5575169904
476,0.2239559188,0.4346716122,0.6586275310
477,0.1322393095,0.4341486042,0.5663879137
478,0.1002997283,0.4336266881,0.5339264164
479,0.0429682219,0.4331058594,0.4760740812
480,0.3735221933,0.4325861134,0.8061083066
481,0.0780631832,0.4320674457,0.5101306288
482,0.1002742149,0.4315498518,0.5318240666
483,0.1681986848,0.4310333273,0.5992320121
484,0.1792798551,0.4305178678,0.6097977229
485,0.0915945907,0.4300034689,0.5215980595
486,0.2262718800,0.4294901262,0.6557620062
487,0.0429468499,0.4289778354,0.4719246853
488,0.1648148940,0.4284665923,0.5932814863
489,0.1000045201,0.4279563925,0.5279609126
490,0.2300559397,0.4274472318,0.6575031715
491,0.0429364250,0.4269391059,0.4698755309
492,0.2372206874,0.4264320107,0.6636526981
493,0.0758195539,0.4259259420,0.5017454960
494,0.1561607430,0.4254208957,0.5815816387
495,0.2329375189,0.4249168675,0.6578543865
496,0.1862659883,0.4244138535,0.6106798418
497,0.0854133845,0.4239118496,0.5093252341
