a	b	strip	stirling_b	ft_a	tsum_delta	formula	lhs	identity_err	gap_algebraic	gap_numerical	gap_match
67	79	1.246929907424901e-2	3.299511411491299e-3	4.295635203113404e-3	-4.463997877011161e-3	1.525881262776566e-2	1.560044781184255e-2	3.416352e-4	-5.099978579746499e-4	-1.683626738977563e-4	3.416352e-4
68	79	1.247207743857037e-2	3.299511411491299e-3	4.279944719480237e-3	-4.465649826117258e-3	1.523206087649108e-2	1.558588374342464e-2	3.538229e-4	-5.395279735705878e-4	-1.857051066370213e-4	3.538229e-4
69	79	1.247477527059255e-2	3.299511411491299e-3	4.400665066688092e-3	-4.584525591703029e-3	1.521136592364471e-2	1.559042615706891e-2	3.790602e-4	-5.629207584391408e-4	-1.838605250149372e-4	3.790602e-4
70	79	1.247739602169982e-2	3.299511411491299e-3	4.408496076246574e-3	-4.600287709904388e-3	1.519662097688721e-2	1.558511579953330e-2	3.884948e-4	-5.802864563039083e-4	-1.917916336578144e-4	3.884948e-4
71	79	1.247994294883223e-2	3.299511411491299e-3	4.459801945601920e-3	-4.628721142662707e-3	1.519279211651736e-2	1.561053516326275e-2	4.177430e-4	-5.866622438061748e-4	-1.689191970607866e-4	4.177430e-4
72	79	1.248241912798875e-2	3.299511411491299e-3	4.474461746234381e-3	-4.670507538589617e-3	1.519754074816495e-2	1.558588474712481e-2	3.883440e-4	-5.843897913150969e-4	-1.960457923552368e-4	3.883440e-4
73	79	1.248482746662043e-2	3.299511411491299e-3	4.530934948362730e-3	-4.762020350969835e-3	1.521403825424231e-2	1.555325347550462e-2	3.392152e-4	-5.703006238694211e-4	-2.310854026071050e-4	3.392152e-4
74	79	1.248717071501882e-2	3.299511411491299e-3	4.622413319764376e-3	-4.825699022940156e-3	1.524280137536029e-2	1.558339642333434e-2	3.405950e-4	-5.438807511498277e-4	-2.032857031757796e-4	3.405950e-4
75	79	1.248945147679325e-2	3.299511411491299e-3	4.702655396593989e-3	-4.863328700506210e-3	1.528663832402292e-2	1.562828958437232e-2	3.416513e-4	-5.023245642616288e-4	-1.606733039122216e-4	3.416513e-4
76	79	1.249167221852099e-2	3.299511411491299e-3	4.798673600854553e-3	-4.876574231015256e-3	1.534921117059659e-2	1.571328299985158e-2	3.640718e-4	-4.419724594156982e-4	-7.790063016070261e-5	3.640718e-4
77	79	1.249383527864541e-2	3.299511411491299e-3	4.923846621810787e-3	-4.866989334411357e-3	1.543696391930476e-2	1.585020397753613e-2	4.132401e-4	-3.563827708319397e-4	5.685728739942912e-5	4.132401e-4
78	79	1.249594287568971e-2	3.299511411491299e-3	5.084964282195981e-3	-4.836024982406933e-3	1.556383601422200e-2	1.604439358697006e-2	4.805576e-4	-2.316182729590123e-4	2.489392997890482e-4	4.805576e-4
3	80	8.333333333333333e-3	3.258267518847658e-3	1.909452920591636e-2	-6.605688017443254e-309	3.047171864239053e-2	3.068613005809735e-2	2.144114e-4	1.888011779020955e-2	1.909452920591636e-2	2.144114e-4
7	80	1.071428571428571e-2	3.258267518847658e-3	1.416324834663966e-2	-3.476677903917502e-310	2.753053896388675e-2	2.813580157977303e-2	6.052626e-4	1.355798573075338e-2	1.416324834663966e-2	6.052626e-4
9	80	1.111111111111111e-2	3.258267518847658e-3	1.245378978856069e-2	-1.457120986051158e-4	2.643015269749737e-2	2.667745631991434e-2	2.473036e-4	1.206077406753860e-2	1.230807768995557e-2	2.473036e-4
