j	k	tau	M_bd	G_bd	M_hf	G_hf
7	47	1.90423745	0.0022703917	0.0411811751	0.0134502386	0.2439652318
7	48	1.92529086	0.0022144764	0.0405920221	0.0133053459	0.2438910186
7	49	1.94591015	0.0021787253	0.0403505575	0.0137656061	0.2549425930
7	50	1.96611286	0.0021051362	0.0393834922	0.0130223207	0.2436253120
8	8	0.00000000	0.0177421017	0.1419368134	0.0403755299	0.3230042390
8	9	0.11778304	0.0142702548	0.1210871276	0.0287234212	0.2437263105
8	10	0.22314355	0.0124206733	0.1110938793	0.0274248451	0.2452952717
8	11	0.31845373	0.0110871197	0.1040064019	0.0258589408	0.2425783665
8	12	0.40546511	0.0101864254	0.0998061782	0.0260929036	0.2556571993
8	13	0.48550782	0.0092429789	0.0942602599	0.0238275457	0.2429942409
8	14	0.55961579	0.0085745179	0.0907441675	0.0231837274	0.2453535081
8	15	0.62860866	0.0080656459	0.0883547239	0.0222709280	0.2439657925
8	16	0.69314718	0.0078392850	0.0886913854	0.0251051863	0.2840327595
8	17	0.75377180	0.0070331208	0.0820195782	0.0209522778	0.2443434481
8	18	0.81093022	0.0065056403	0.0780676834	0.0204482462	0.2453789548
8	19	0.86499744	0.0060858557	0.0750314680	0.0197598222	0.2436154497
8	20	0.91629073	0.0057529479	0.0727696747	0.0198300103	0.2508319946
8	21	0.96508090	0.0054099952	0.0701215521	0.0187960503	0.2436246561
8	22	1.01160091	0.0051489128	0.0683080470	0.0184712238	0.2450484750
8	23	1.05605267	0.0049280027	0.0668466810	0.0179843612	0.2439517442
8	24	1.09861229	0.0048095085	0.0666425046	0.0195566643	0.2709850890
8	25	1.13943428	0.0044738952	0.0632704331	0.0172910899	0.2445329392
8	26	1.17865500	0.0042405398	0.0611579348	0.0170024436	0.2452127290
8	27	1.21639532	0.0040446799	0.0594444116	0.0165903002	0.2438266217
8	28	1.25276297	0.0038798563	0.0580683712	0.0166637997	0.2494009163
8	29	1.28785429	0.0037095818	0.0565026670	0.0160354956	0.2442453926
8	30	1.32175584	0.0035690695	0.0552917869	0.0157993464	0.2447624217
8	31	1.35454566	0.0034535862	0.0543871292	0.0155145938	0.2443240679
8	32	1.38629436	0.0033823814	0.0541181019	0.0165151907	0.2642430518
8	33	1.41706602	0.0032053848	0.0520813386	0.0150323683	0.2442470755
8	34	1.44691898	0.0030746886	0.0507090627	0.0148571641	0.2450306281
8	35	1.47590652	0.0029607945	0.0495435684	0.0146014511	0.2443290094
8	36	1.50407740	0.0028699119	0.0487040198	0.0146477849	0.2485811524
8	37	1.53147637	0.0027687721	0.0476357567	0.0142062228	0.2444130983
8	38	1.55814462	0.0026873459	0.0468554760	0.0140509861	0.2449873141
8	39	1.58412010	0.0026156801	0.0462021224	0.0138506778	0.2446517482
8	40	1.60943791	0.0025646976	0.0458787045	0.0145229704	0.2597947926
8	41	1.63413053	0.0024586595	0.0445282178	0.0134806792	0.2441454850
8	42	1.65822808	0.0023760637	0.0435539679	0.0133673804	0.2450281295
