a	b	M	integral	formula	error	error_abs	error_times_aM	time_ms
3	8	2000	1.59537343356080774e-1	1.59579576000371010e-1	-4.22326442902354326e-5	4.22326442902354326e-5	2.53395865741412596e-1	30.9
3	8	5000	1.59562679888914261e-1	1.59579576000371010e-1	-1.68961114567489634e-5	1.68961114567489634e-5	2.53441671851234451e-1	76.4
3	8	10000	1.59571127435512994e-1	1.59579576000371010e-1	-8.44856485801570578e-6	8.44856485801570578e-6	2.53456945740471173e-1	153.7
3	8	20000	1.59575351590643372e-1	1.59579576000371010e-1	-4.22440972763782341e-6	4.22440972763782341e-6	2.53464583658269405e-1	305.7
3	8	50000	1.59577886205926223e-1	1.59579576000371010e-1	-1.68979444478689622e-6	1.68979444478689622e-6	2.53469166718034433e-1	759.8
3	10	10	1.31364756922472681e-1	1.39242866186998021e-1	-7.87810926452534033e-3	7.87810926452534033e-3	2.36343277935760210e-1	0.1
3	10	20	1.35173214532648134e-1	1.39242866186998021e-1	-4.06965165434988729e-3	4.06965165434988729e-3	2.44179099260993238e-1	0.3
3	10	50	1.37581291498354685e-1	1.39242866186998021e-1	-1.66157468864333580e-3	1.66157468864333580e-3	2.49236203296500369e-1	0.7
3	10	100	1.38406234316506144e-1	1.39242866186998021e-1	-8.36631870491877372e-4	8.36631870491877372e-4	2.50989561147563212e-1	1.5
3	10	200	1.38823067316721616e-1	1.39242866186998021e-1	-4.19798870276405500e-4	4.19798870276405500e-4	2.51879322165843300e-1	3.0
3	10	500	1.39074587949239520e-1	1.39242866186998021e-1	-1.68278237758501259e-4	1.68278237758501259e-4	2.52417356637751888e-1	7.4
3	10	1000	1.39158667055475305e-1	1.39242866186998021e-1	-8.41991315227164083e-5	8.41991315227164083e-5	2.52597394568149225e-1	14.0
3	10	2000	1.39200751596486788e-1	1.39242866186998021e-1	-4.21145905112330077e-5	4.21145905112330077e-5	2.52687543067398046e-1	29.7
3	10	5000	1.39226016742094311e-1	1.39242866186998021e-1	-1.68494449037104310e-5	1.68494449037104310e-5	2.52741673555656465e-1	73.4
3	10	10000	1.39234440862866543e-1	1.39242866186998021e-1	-8.42532413147800696e-6	8.42532413147800696e-6	2.52759723944340209e-1	149.2
3	10	20000	1.39238653374490845e-1	1.39242866186998021e-1	-4.21281250717608913e-6	4.21281250717608913e-6	2.52768750430565348e-1	302.4
3	10	50000	1.39241181025886451e-1	1.39242866186998021e-1	-1.68516111156979953e-6	1.68516111156979953e-6	2.52774166735469930e-1	761.4
4	5	10	1.91233939207620635e-1	1.97375838124524638e-1	-6.14189891690400391e-3	6.14189891690400391e-3	2.45675956676160157e-1	0.2
4	5	20	1.94254488541904552e-1	1.97375838124524638e-1	-3.12134958262008655e-3	3.12134958262008655e-3	2.49707966609606924e-1	0.4
4	5	50	1.96114195103253008e-1	1.97375838124524638e-1	-1.26164302127163008e-3	1.26164302127163008e-3	2.52328604254326017e-1	1.0
4	5	100	1.96742742108232865e-1	1.97375838124524638e-1	-6.33096016291773145e-4	6.33096016291773145e-4	2.53238406516709258e-1	2.0
4	5	200	1.97058712841764128e-1	1.97375838124524638e-1	-3.17125282760510885e-4	3.17125282760510885e-4	2.53700226208408708e-1	4.1
4	5	500	1.97248848356476714e-1	1.97375838124524638e-1	-1.26989768047924834e-4	1.26989768047924834e-4	2.53979536095849667e-1	10.2
4	5	1000	1.97312319872271269e-1	1.97375838124524638e-1	-6.35182522533694893e-5	6.35182522533694893e-5	2.54073009013477957e-1	19.5
4	5	2000	1.97344073147680654e-1	1.97375838124524638e-1	-3.17649768439842717e-5	3.17649768439842717e-5	2.54119814751874173e-1	40.6
4	5	5000	1.97363130728506614e-1	1.97375838124524638e-1	-1.27073960180246193e-5	1.27073960180246193e-5	2.54147920360492385e-1	99.4
4	5	10000	1.97369484192209899e-1	1.97375838124524638e-1	-6.35393231473990738e-6	6.35393231473990738e-6	2.54157292589596295e-1	199.5
4	5	20000	1.97372661099782160e-1	1.97375838124524638e-1	-3.17702474247893996e-6	3.17702474247893996e-6	2.54161979398315196e-1	398.2
