k	eigenvalue	dominant_omega	purity	P_0	P_1	P_2	P_3	P_4
8169	2.097057933575825e-6	2	0.43338823	0.00000000	0.12799852	0.43338823	0.36192029	0.07669296
8170	2.098997304222238e-6	2	0.42461435	0.00000000	0.12859244	0.42461435	0.37458416	0.07220905
8171	2.100101446607276e-6	2	0.43842659	0.00000000	0.13641640	0.43842659	0.34753541	0.07762160
8172	2.103688684602538e-6	2	0.43614428	0.00000000	0.13333050	0.43614428	0.35850801	0.07201722
8173	2.107645608243180e-6	2	0.43457374	0.00000000	0.13235422	0.43457374	0.35415388	0.07891815
8174	2.109000491437983e-6	2	0.43131164	0.00000000	0.12598768	0.43131164	0.37041403	0.07228665
8175	2.110029609720185e-6	2	0.43446840	0.00000000	0.12766442	0.43446840	0.36570379	0.07216339
8176	2.111513228052905e-6	2	0.42589472	0.00000000	0.12666649	0.42589472	0.37365678	0.07378201
8177	2.113663915533922e-6	2	0.44325351	0.00000000	0.14597271	0.44325351	0.34039090	0.07038289
8178	2.115399705900722e-6	2	0.44146319	0.00000000	0.13119923	0.44146319	0.35779692	0.06954067
8179	2.117365606732358e-6	2	0.44083218	0.00000000	0.14366687	0.44083218	0.34729359	0.06820736
8180	2.120053135977495e-6	2	0.43070440	0.00000000	0.13632214	0.43070440	0.36292810	0.07004536
8181	2.123818229591616e-6	2	0.42648616	0.00000000	0.13927439	0.42648616	0.36368057	0.07055888
8182	2.124538356454812e-6	2	0.42811341	0.00000000	0.13375056	0.42811341	0.36094967	0.07718636
8183	2.126808856866277e-6	2	0.42767190	0.00000000	0.14154238	0.42767190	0.36654701	0.06423872
8184	2.129043082898593e-6	2	0.43608168	0.00000000	0.12888057	0.43608168	0.35883638	0.07620137
8185	2.130032042327887e-6	2	0.42570482	0.00000000	0.13450271	0.42570482	0.36960663	0.07018583
8186	2.135345046930754e-6	2	0.43385935	0.00000000	0.13167158	0.43385935	0.36510341	0.06936566
8187	2.137292471174107e-6	2	0.43381348	0.00000000	0.13434749	0.43381348	0.35851658	0.07332245
8188	2.138299530801613e-6	2	0.43316331	0.00000000	0.13657885	0.43316331	0.36362246	0.06663538
8189	2.141487537365530e-6	2	0.42650105	0.00000000	0.13186267	0.42650105	0.37010708	0.07152920
8190	2.143328291528395e-6	2	0.43772407	0.00000000	0.13694909	0.43772407	0.35956075	0.06576609
8191	2.145808963604734e-6	2	0.43579823	0.00000000	0.13457338	0.43579823	0.35182603	0.07780235
8192	2.149829635557669e-6	2	0.45017934	0.00000000	0.12266083	0.45017934	0.35597025	0.07118957
8193	2.150643062222385e-6	2	0.44853773	0.00000000	0.12865461	0.44853773	0.35380801	0.06899966
8194	2.154040178882540e-6	2	0.43117188	0.00000000	0.13795027	0.43117188	0.35691197	0.07396588
8195	2.154808633579922e-6	2	0.42850140	0.00000000	0.12977964	0.42850140	0.36894509	0.07277387
8196	2.156992526654950e-6	2	0.42725594	0.00000000	0.14257343	0.42725594	0.35697014	0.07320048
8197	2.160359318932934e-6	2	0.44004742	0.00000000	0.13176406	0.44004742	0.35390440	0.07428411
8198	2.162792674479435e-6	2	0.44366786	0.00000000	0.13380962	0.44366786	0.36375880	0.05876372
8199	2.164691440784588e-6	2	0.43736886	0.00000000	0.13695513	0.43736886	0.34528600	0.08039001
8200	2.168746233189709e-6	2	0.41892817	0.00000000	0.12603453	0.41892817	0.37348330	0.08155400
8201	2.169734769870009e-6	2	0.42383897	0.00000000	0.13836700	0.42383897	0.36696805	0.07082598
8202	2.171532498011992e-6	2	0.42282460	0.00000000	0.13563210	0.42282460	0.37176433	0.06977896
8203	2.172511931800247e-6	2	0.41810822	0.00000000	0.13759504	0.41810822	0.37265003	0.07164671
8204	2.176952108082264e-6	2	0.44237233	0.00000000	0.12849986	0.44237233	0.35651830	0.07260951
8205	2.178266680246963e-6	2	0.43734054	0.00000000	0.13465436	0.43734054	0.34900260	0.07900250
8206	2.179545094602724e-6	2	0.45024253	0.00000000	0.13815618	0.45024253	0.34574873	0.06585256
8207	2.183878055603769e-6	2	0.44561697	0.00000000	0.12590860	0.44561697	0.36030823	0.06816620
8208	2.186287411479800e-6	2	0.43752787	0.00000000	0.12991620	0.43752787	0.36305789	0.06949804
8209	2.188781736364379e-6	2	0.42163734	0.00000000	0.12756311	0.42163734	0.36988224	0.08091731
8210	2.189310586273186e-6	2	0.43296278	0.00000000	0.13581413	0.43296278	0.37113032	0.06009278
