a	b	M	s_combined	ftc_sum	correction_sum	strip	formula	target	ftc_error	ftc_error_x_aM	alg_error	alg_error_x_aM
2	7	5000	1.240438187160498e-1	1.073985928961365e-1	-1.664522581991321e-2	7.142857142857142e-2	1.788527593842831e-1	1.074241879557117e-1	-2.559506e-5	2.559506e-1	1.661963e-2	1.661963e2
2	7	10000	1.240592975848164e-1	1.074113904706752e-1	-1.664790711414133e-2	7.142857142857142e-2	1.788527593842831e-1	1.074241879557117e-1	-1.279749e-5	2.559497e-1	1.663511e-2	3.327022e2
2	7	50000	1.240716775372944e-1	1.074216284301166e-1	-1.665004910717795e-2	7.142857142857142e-2	1.788527593842831e-1	1.074241879557117e-1	-2.559526e-6	2.559526e-1	1.664749e-2	1.664749e3
2	7	100000	1.240732251474119e-1	1.074229081906814e-1	-1.665031695673089e-2	7.142857142857142e-2	1.788527593842831e-1	1.074241879557117e-1	-1.279765e-6	2.559530e-1	1.664904e-2	3.329807e3
3	7	100	1.055790272198745e-1	7.705644720165182e-2	-2.852258001822268e-2	9.523809523809523e-2	1.731367423916173e-1	7.789864715352210e-2	-8.422000e-4	2.526600e-1	2.768038e-2	8.304114e0
3	7	500	1.065340088748298e-1	7.772934056466863e-2	-2.880466831016119e-2	9.523809523809523e-2	1.731367423916173e-1	7.789864715352210e-2	-1.693066e-4	2.539599e-1	2.863536e-2	4.295304e1
3	7	1000	1.066528905141883e-1	7.781397914518255e-2	-2.883891136900571e-2	9.523809523809523e-2	1.731367423916173e-1	7.789864715352210e-2	-8.466801e-5	2.540040e-1	2.875424e-2	8.626273e1
3	7	5000	1.067481038006064e-1	7.788171768259707e-2	-2.886638611800881e-2	9.523809523809523e-2	1.731367423916173e-1	7.789864715352210e-2	-1.692947e-5	2.539421e-1	2.884946e-2	4.327418e2
3	7	10000	1.067600097531988e-1	7.789018166411360e-2	-2.886982808908471e-2	9.523809523809523e-2	1.731367423916173e-1	7.789864715352210e-2	-8.465489e-6	2.539647e-1	2.886136e-2	8.658409e2
3	7	50000	1.067695333342007e-1	7.789695402706640e-2	-2.887257930713288e-2	9.523809523809523e-2	1.731367423916173e-1	7.789864715352210e-2	-1.693126e-6	2.539690e-1	2.887089e-2	4.330633e3
3	7	100000	1.067707238080104e-1	7.789780059280739e-2	-2.887292321520092e-2	9.523809523809523e-2	1.731367423916173e-1	7.789864715352210e-2	-8.465607e-7	2.539682e-1	2.887208e-2	8.661623e3
4	7	100	8.608678773827072e-2	5.593882086727216e-2	-3.014796687099858e-2	1.071428571428571e-1	1.637126947704327e-1	5.656983762757554e-2	-6.310168e-4	2.524067e-1	2.951695e-2	1.180678e1
4	7	500	8.689413305958144e-2	5.644341509935635e-2	-3.045071796022500e-2	1.071428571428571e-1	1.637126947704327e-1	5.656983762757554e-2	-1.264225e-4	2.528451e-1	3.032430e-2	6.064859e1
4	7	1000	8.699543946691686e-2	5.650658427335134e-2	-3.048885519356553e-2	1.071428571428571e-1	1.637126947704327e-1	5.656983762757554e-2	-6.325335e-5	2.530134e-1	3.042560e-2	1.217024e2
4	7	5000	8.707633618243771e-2	5.655718938361307e-2	-3.051914679882483e-2	1.071428571428571e-1	1.637126947704327e-1	5.656983762757554e-2	-1.264824e-5	2.529649e-1	3.050650e-2	6.101300e2
4	7	10000	8.708645460474092e-2	5.656351318563327e-2	-3.052294141910717e-2	1.071428571428571e-1	1.637126947704327e-1	5.656983762757554e-2	-6.324442e-6	2.529777e-1	3.051662e-2	1.220665e3
4	7	50000	8.709454965715838e-2	5.656857274290282e-2	-3.052597691425519e-2	1.071428571428571e-1	1.637126947704327e-1	5.656983762757554e-2	-1.264885e-6	2.529769e-1	3.052471e-2	6.104942e3
4	7	100000	8.709556153959706e-2	5.656920518873679e-2	-3.052635635086272e-2	1.071428571428571e-1	1.637126947704327e-1	5.656983762757554e-2	-6.324388e-7	2.529755e-1	3.052572e-2	1.221029e4
5	7	100	8.320764109259397e-2	3.923255883752898e-2	-4.397508225506497e-2	1.142857142857143e-1	1.540228560106704e-1	3.973714172495611e-2	-5.045829e-4	2.522914e-1	4.347050e-2	2.173525e1
5	7	500	8.392962202060988e-2	3.963621225041872e-2	-4.429340977019118e-2	1.142857142857143e-1	1.540228560106704e-1	3.973714172495611e-2	-1.009295e-4	2.523237e-1	4.419248e-2	1.104812e2
5	7	1000	8.402006963420022e-2	3.968665982167221e-2	-4.433340981252792e-2	1.142857142857143e-1	1.540228560106704e-1	3.973714172495611e-2	-5.048190e-5	2.524095e-1	4.428293e-2	2.214146e2
5	7	5000	8.409240373989380e-2	3.972704655549419e-2	-4.436535718439977e-2	1.142857142857143e-1	1.540228560106704e-1	3.973714172495611e-2	-1.009517e-5	2.523792e-1	4.435526e-2	1.108882e3
5	7	10000	8.410145050178497e-2	3.973209427733711e-2	-4.436935622444790e-2	1.142857142857143e-1	1.540228560106704e-1	3.973714172495611e-2	-5.047448e-6	2.523724e-1	4.436431e-2	2.218215e3
5	7	50000	8.410868871132830e-2	3.973613219886062e-2	-4.437255651246814e-2	1.142857142857143e-1	1.540228560106704e-1	3.973714172495611e-2	-1.009526e-6	2.523815e-1	4.437155e-2	1.109289e4
5	7	100000	8.410959345751894e-2	3.973663696345024e-2	-4.437295649406768e-2	1.142857142857143e-1	1.540228560106704e-1	3.973714172495611e-2	-5.047615e-7	2.523808e-1	4.437245e-2	2.218623e4
6	7	100	8.388320703930718e-2	3.090065112236174e-2	-5.298255591694545e-2	1.190476190476190e-1	1.503665696081029e-1	3.131895056048384e-2	-4.182994e-4	2.509797e-1	5.256426e-2	3.153855e1
6	7	500	8.454945169396862e-2	3.123498708453120e-2	-5.331446460943744e-2	1.190476190476190e-1	1.503665696081029e-1	3.131895056048384e-2	-8.396348e-5	2.518904e-1	5.323050e-2	1.596915e2
6	7	1000	8.463269631101662e-2	3.127695071473825e-2	-5.335574559627854e-2	1.190476190476190e-1	1.503665696081029e-1	3.131895056048384e-2	-4.199985e-5	2.519991e-1	5.331375e-2	3.198825e2
6	7	5000	8.469933339875324e-2	3.131055175761271e-2	-5.338878164114071e-2	1.190476190476190e-1	1.503665696081029e-1	3.131895056048384e-2	-8.398803e-6	2.519641e-1	5.338038e-2	1.601411e3
6	7	10000	8.470766691107606e-2	3.131475081017301e-2	-5.339291610090303e-2	1.190476190476190e-1	1.503665696081029e-1	3.131895056048384e-2	-4.199750e-6	2.519850e-1	5.338872e-2	3.203323e3
6	7	50000	8.471433317301391e-2	3.131811061240115e-2	-5.339622256061174e-2	1.190476190476190e-1	1.503665696081029e-1	3.131895056048384e-2	-8.399481e-7	2.519844e-1	5.339538e-2	1.601861e4
