N	k	inner_val	predicted	ratio
200	128	-1.391433425325357e-3	1.442517228015435e0	9.645870415285393e-4
200	129	-1.392544911828896e-3	1.442022635667890e0	9.656886635374635e-4
200	130	-1.388510418401885e-3	1.441528376463046e0	9.632210097790468e-4
200	131	-1.377343213182750e-3	1.441034486953618e0	9.558017005508916e-4
200	132	-1.377807775614820e-3	1.440541002069578e0	9.564516203533041e-4
200	133	-1.381054352007433e-3	1.440047955187738e0	9.590335842860079e-4
200	134	-1.372659354995531e-3	1.439555378198046e0	9.535300800402336e-4
200	135	-1.363275916262212e-3	1.439063301566758e0	9.473356139218940e-4
200	136	-1.352928620841564e-3	1.438571754396669e0	9.404665542102050e-4
200	137	-1.340823252997167e-3	1.438080764484531e0	9.323699239366257e-4
200	138	-1.337326458343114e-3	1.437590358375837e0	9.302555839717795e-4
200	139	-1.330280451701927e-3	1.437100561417068e0	9.256697042760808e-4
200	140	-1.333209626495958e-3	1.436611397805572e0	9.280238403596402e-4
200	141	-1.337190633435351e-3	1.436122890637169e0	9.311115658368728e-4
200	142	-1.341258726164770e-3	1.435635061951607e0	9.342616112631431e-4
200	143	-1.346697472519087e-3	1.435147932775977e0	9.383684021438809e-4
200	144	-1.342420765745197e-3	1.434661523166193e0	9.357055612550148e-4
200	145	-1.345768481043210e-3	1.434175852246621e0	9.383566728829510e-4
200	146	-1.339388480102406e-3	1.433690938247962e0	9.342239979135269e-4
200	147	-1.334885230989089e-3	1.433206798543470e0	9.313975012857164e-4
200	148	-1.327452431250075e-3	1.432723449683586e0	9.265238392958811e-4
200	149	-1.318744254201910e-3	1.432240907429057e0	9.207558919463630e-4
200	150	-1.315669114863658e-3	1.431759186782637e0	9.189178787950719e-4
200	151	-1.312053811204850e-3	1.431278302019407e0	9.167006929076324e-4
200	152	-1.312267218383552e-3	1.430798266715804e0	9.171574001104133e-4
200	153	-1.309467532636174e-3	1.430319093777410e0	9.155072727008963e-4
200	154	-1.303049535773172e-3	1.429840795465561e0	9.113249110708825e-4
200	155	-1.299564302352187e-3	1.429363383422834e0	9.091909848985895e-4
200	156	-1.292361719474695e-3	1.428886868697459e0	9.044534929856155e-4
200	157	-1.288839540270943e-3	1.428411261766710e0	9.022888398939529e-4
200	158	-1.292366878536394e-3	1.427936572559328e0	9.050590224886889e-4
200	159	-1.294406423635129e-3	1.427462810477002e0	9.067881938042154e-4
200	160	-1.294338306365806e-3	1.426989984414975e0	9.070409186483868e-4
200	161	-1.293560319511459e-3	1.426518102781800e0	9.067955863924440e-4
200	162	-1.285355837303365e-3	1.426047173518282e0	9.013417376174102e-4
200	163	-1.278595239608473e-3	1.425577204115656e0	8.968965243812515e-4
200	164	-1.278577575676535e-3	1.425108201633020e0	8.971792978325596e-4
200	165	-1.275466318466414e-3	1.424640172714074e0	8.952901531876151e-4
200	166	-1.267240447841720e-3	1.424173123603176e0	8.898078659394902e-4
200	167	-1.260360519733280e-3	1.423707060160758e0	8.852667483372361e-4
200	168	-1.258085493477909e-3	1.423241987878129e0	8.839575449523890e-4
200	169	-1.257359262077507e-3	1.422777911891690e0	8.837354386572908e-4
200	170	-1.257702094942689e-3	1.422314836996579e0	8.842642024310919e-4
200	171	-1.255675750443215e-3	1.421852767659791e0	8.831264242006684e-4
200	172	-1.248068582680853e-3	1.421391708032767e0	8.780609705456944e-4
200	173	-1.239015221344857e-3	1.420931661963508e0	8.719738285180651e-4
200	174	-1.238841181602201e-3	1.420472633008199e0	8.721330864211377e-4
200	175	-1.241854963590220e-3	1.420014624442397e0	8.745367422380347e-4
